Unnamed: 0,steps,gpt,bitnet
0,0.0,4.191822052001953,4.181616306304932
1,100.0,2.6327266693115234,2.6558022499084473
2,200.0,2.457794427871704,2.520834445953369
3,300.0,2.42490816116333,2.4297127723693848
4,400.0,2.3468027114868164,2.3783886432647705
5,500.0,2.300450086593628,2.351583242416382
6,600.0,2.2553601264953613,2.3005874156951904
7,700.0,2.187584638595581,2.2954654693603516
8,800.0,2.1621196269989014,2.2560248374938965
9,900.0,2.1222496032714844,2.230644464492798
10,1000.0,2.1144161224365234,2.1946189403533936
11,1100.0,2.091350793838501,2.17690372467041
12,1200.0,2.087918758392334,2.1531567573547363
13,1300.0,2.0581178665161133,2.140641212463379
14,1400.0,2.063514471054077,2.1217362880706787
15,1500.0,1.9997923374176023,2.0976593494415283
16,1600.0,2.002265930175781,2.0959386825561523
17,1700.0,1.999443769454956,2.086895227432251
18,1800.0,1.998578786849976,2.0642809867858887
19,1900.0,1.9702731370925903,2.0594229698181152
20,2000.0,1.9613068103790283,2.030062198638916
21,2100.0,1.9716017246246336,2.0547919273376465
22,2200.0,1.9488317966461184,2.0383057594299316
23,2300.0,1.9375793933868408,2.0422170162200928
24,2400.0,1.9355454444885252,2.0135385990142822
25,2500.0,1.9252285957336424,2.000516891479492
26,2600.0,1.9157065153121948,2.01511287689209
27,2700.0,1.9002703428268437,2.007859706878662
28,2800.0,1.9059808254241943,2.016303300857544
29,2900.0,1.909476637840271,1.9809154272079468
30,3000.0,1.8969781398773196,2.000365972518921
31,3100.0,1.894930124282837,1.9789143800735474
32,3200.0,1.896235466003418,1.9779510498046875
33,3300.0,1.8704737424850464,1.9883352518081665
34,3400.0,1.87923264503479,1.9945082664489746
35,3500.0,1.8630369901657104,1.9836363792419434
36,3600.0,1.8603061437606807,1.9516738653182983
37,3700.0,1.859897255897522,1.9626877307891846
38,3800.0,1.8687893152236936,1.9545068740844727
39,3900.0,1.8605930805206297,1.9543629884719849
40,4000.0,1.842369556427002,1.946860671043396
41,4100.0,1.8459594249725344,1.959464430809021
42,4200.0,1.854680061340332,1.9775303602218628
43,4300.0,1.8358702659606931,1.9565626382827759
44,4400.0,1.8292927742004397,1.9483014345169067
45,4500.0,1.8327163457870483,1.969883918762207
46,4600.0,1.844037175178528,1.9555084705352783
47,4700.0,1.8172242641448972,1.9581562280654907
48,4800.0,1.8264858722686768,1.9380394220352173
49,4900.0,1.8217034339904783,1.9369845390319824
50,5000.0,1.84228789806366,1.9304704666137695
